date,sym,grade,pattern,score,alert_time,whale_time,entry,fill,slip_pct,target,stop,outcome,exit_pct,minutes,max_up_pct,max_dn_pct,outcome_1pct,minutes_1pct,spike,pace,clv,rsi,room,wall_up,triangle,base,swing1_outcome,swing1_exit_pct,swing1_close_pct,swing1_max_up,swing2_outcome,swing2_exit_pct,swing2_close_pct,swing2_max_up,swing3_outcome,swing3_exit_pct,swing3_close_pct,swing3_max_up
2026-07-02,CRWD,B,بدون نموذج,100,10:01,09:50,199.25,199.24,-0.01,203.24,195.26,stop,-2.0,45,0.11,-3.02,stop,45,7.15,1.99,0.95,71.5,9.9,,False,False,stop,-2.0,0.08,5.15,stop,-2.0,-2.43,5.15,stop,-2.0,-4.09,5.15
2026-07-06,CRWD,B,بدون نموذج,100,09:51,09:40,206.04,206.25,0.1,210.16,201.92,stop,-2.1,150,1.57,-4.22,target,45,3.58,2.93,0.96,71.4,9.9,,False,False,stop,-2.1,-5.75,1.57,stop,-2.1,-7.35,1.57,stop,-2.1,-3.81,1.57
2026-07-14,WDAY,B,بدون نموذج,100,12:31,12:20,141.04,141.15,0.07,143.86,139.71,stop,-1.02,145,0.59,-1.68,stop,145,7.58,2.15,0.88,59.1,0.0438,147.22,False,False,stop,-1.02,0.49,4.42,stop,-1.02,3.04,5.15,stop,-1.02,2.58,6.19
2026-07-16,PH,B,بدون نموذج,97,10:11,10:00,976.13,973.14,-0.31,995.65,960.16,stop,-1.33,225,0.33,-1.73,stop,225,3.2,2.54,0.92,74.4,9.9,,False,False,stop,-1.33,-2.1,0.33,stop,-1.33,-2.28,0.33,stop,-1.33,-1.39,0.33
2026-08-12,MRK,B,قاعدة ضيقة ▭,97,12:01,11:50,133.49,133.48,-0.01,136.16,132.72,stop,-0.57,55,0.43,-0.6,stop,55,3.26,1.56,0.96,66.2,9.9,,False,True,stop,-0.57,1.58,1.65,stop,-0.57,1.78,1.87,stop,-0.57,1.87,2.76
2026-08-18,XOM,A,مثلث صاعد 🔺,100,11:36,11:25,165.07,165.03,-0.02,168.37,164.35,none,0.35,265,0.39,-0.41,none,,5.74,2.16,0.96,71.0,9.9,,True,False,none,-0.13,-0.13,1.93,target,2.02,0.76,2.19,target,2.02,0.05,2.19
2026-08-19,REGN,B,بدون نموذج,100,09:51,09:40,836.46,837.44,0.12,853.19,823.08,none,0.42,370,0.89,-0.61,target,355,4.2,2.75,1.0,67.8,9.9,,False,False,none,-1.25,-1.25,0.89,none,-0.41,-0.41,1.13,none,-1.06,-1.06,1.13
2026-08-19,CVX,B,بدون نموذج,94,10:01,09:50,206.76,206.76,0.0,210.9,205.65,stop,-0.54,335,0.44,-0.79,stop,335,3.5,1.72,0.98,62.9,9.9,,False,False,stop,-0.54,-0.46,1.07,stop,-0.54,-0.72,1.07,stop,-0.54,-1.78,1.07
2026-08-19,UBER,B,بدون نموذج,97,14:26,14:15,79.07,79.06,-0.01,80.65,78.48,stop,-0.73,15,0.32,-1.58,stop,15,6.13,1.63,0.79,66.5,9.9,,False,False,stop,-0.73,-0.63,1.38,stop,-0.73,-0.34,1.47,stop,-0.73,0.29,1.47
2026-08-26,MSFT,B,بدون نموذج,100,09:51,09:40,496.6,496.59,-0.0,506.53,491.79,none,-0.08,370,0.16,-0.73,none,,3.81,1.94,0.83,64.8,9.9,,False,False,stop,-0.97,1.67,1.99,stop,-0.97,3.44,4.27,stop,-0.97,2.16,4.27
2026-08-27,SLB,B,بدون نموذج,95,13:51,13:40,55.33,55.32,-0.02,56.44,54.89,none,-0.55,130,1.02,-0.75,target,25,17.47,1.52,0.9,71.7,9.9,,False,False,stop,-0.92,3.62,3.8,stop,-0.92,8.69,9.29,stop,-0.92,3.31,9.29
2026-08-28,SLB,B,قاعدة ضيقة ▭,100,14:11,14:00,57.13,57.12,-0.01,58.27,56.47,none,0.35,110,0.52,-0.29,none,,4.33,1.71,0.99,58.8,9.9,,False,True,target,2.0,5.26,5.84,target,2.0,0.04,5.84,target,2.0,1.79,5.84
2026-09-01,AAPL,B,بدون نموذج,96,09:51,09:40,320.67,320.64,-0.01,327.08,317.08,target,2.01,125,2.08,-0.15,target,35,4.89,1.59,0.88,66.5,9.9,,False,False,target,2.01,1.36,2.42,target,2.01,2.36,3.17,target,2.01,-0.2,3.17
2026-09-04,NVDA,B,بدون نموذج,95,09:56,09:45,234.5,234.51,0.0,239.19,232.16,stop,-1.0,65,0.11,-2.08,stop,65,4.8,1.51,0.9,73.7,9.9,,False,False,stop,-1.0,-3.72,0.11,stop,-1.0,-4.61,0.11,stop,-1.0,-6.88,0.11
