sym,t,date,kind,volx,clv,close,sig_low,atr_pct,trend200,ext,near_earn,year,fill,gap_pct,stop_pct,o_t5,p_t5,d_t5,o_t8,p_t8,d_t8,o_t10,p_t10,d_t10,p_hold5,p_hold10,p_hold20,mfe,mae
UBER,200,2024-07-11,B,2.0,0.98,73.53,68.8499984741211,2.81,True,7.65,False,2024,72.11,-1.93,4.52,stop,-4.52,3,stop,-4.52,3,stop,-4.52,3,-6.66,-10.69,-4.95,4.56,-23.95
SHOP,203,2024-07-16,A,2.67,0.9,69.72,66.83000183105469,2.7,False,9.88,False,2024,68.17,-2.22,1.97,stop,-1.97,0,stop,-1.97,0,stop,-1.97,0,-13.06,-10.22,5.02,5.27,-28.77
JNJ,204,2024-07-17,A,2.09,0.85,156.58,151.4199981689453,1.48,False,5.58,True,2024,155.6,-0.63,2.69,target,5.0,11,time,2.24,20,time,2.24,20,2.6,3.32,2.24,6.54,-2.59
MDT,204,2024-07-17,B,1.53,0.92,81.26,77.94000244140625,1.65,True,0.14,False,2024,80.45,-1.0,3.12,time,3.98,20,time,3.98,20,time,3.98,20,-2.47,0.05,3.98,4.45,-2.65
ISRG,206,2024-07-19,A,2.47,0.9,455.01,439.0,2.45,True,8.44,True,2024,462.33,1.61,5.05,stop,-5.05,3,stop,-5.05,3,stop,-5.05,3,-4.04,-5.26,4.29,4.42,-7.08
SYK,206,2024-07-19,B,2.31,0.95,340.95,331.9700012207031,1.93,True,0.94,False,2024,342.12,0.34,2.97,stop,-2.97,3,stop,-2.97,3,stop,-2.97,3,-2.58,-7.65,-0.31,1.15,-7.95
NXPI,207,2024-07-22,B,2.18,0.93,283.81,271.0199890136719,3.2,True,3.98,True,2024,260.79,-8.11,-3.92,stop,3.92,0,stop,3.92,0,stop,3.92,0,-3.49,-9.21,-2.6,3.39,-12.46
BSX,209,2024-07-24,B,2.9,0.88,77.76,75.41000366210938,1.8,True,1.86,True,2024,78.25,0.63,3.63,stop,-3.63,0,stop,-3.63,0,stop,-3.63,0,-3.95,-3.45,1.7,2.13,-8.14
ANET,214,2024-07-31,B,2.6,0.83,86.64,82.75,4.17,True,5.02,True,2024,87.62,1.14,5.56,stop,-8.7,1,stop,-8.7,1,stop,-8.7,1,-4.56,1.74,-1.12,3.89,-16.7
KLAC,214,2024-07-31,B,1.96,0.9,82.31,79.03099822998047,4.99,True,2.02,False,2024,82.12,-0.22,3.77,stop,-3.77,0,stop,-3.77,0,stop,-3.77,0,-8.4,1.82,-3.1,2.27,-21.09
REGN,215,2024-08-01,B,2.3,0.86,1093.14,1041.8499755859375,2.28,True,5.14,True,2024,1099.77,0.61,5.27,target,5.0,7,target,8.0,11,target,10.0,17,2.86,7.23,7.72,10.13,-4.52
PG,216,2024-08-02,B,1.71,0.95,170.08,165.14999389648438,2.12,True,2.28,False,2024,170.88,0.47,3.35,time,2.13,20,time,2.13,20,time,2.13,20,-2.38,-1.44,2.13,2.41,-2.96
TJX,221,2024-08-09,B,1.56,0.8,110.7,109.4800033569336,1.76,True,0.23,False,2024,111.07,0.33,1.43,stop,-2.56,2,stop,-2.56,2,stop,-2.56,2,1.28,8.16,6.09,9.06,-3.03
HD,223,2024-08-13,B,2.01,0.76,350.07,339.3699951171875,2.83,True,0.5,True,2024,349.55,-0.15,2.91,target,5.0,4,target,8.0,8,time,7.12,20,5.98,6.62,7.12,8.3,-0.04
SBUX,223,2024-08-13,A,11.4,0.98,95.9,90.29000091552734,3.75,False,23.57,False,2024,95.39,-0.53,5.35,stop,-5.35,16,stop,-5.35,16,stop,-5.35,16,-2.74,-0.09,4.08,4.11,-5.46
MRVL,225,2024-08-15,B,1.52,0.88,69.33,65.94999694824219,5.72,True,1.78,False,2024,68.12,-1.75,3.19,target,5.0,4,target,14.94,10,target,14.94,10,5.46,11.92,7.75,15.97,-3.8
TJX,227,2024-08-19,B,1.51,0.76,112.49,111.80999755859375,1.89,True,1.22,True,2024,113.04,0.49,1.09,target,6.06,1,time,3.72,20,time,3.72,20,6.21,3.96,3.72,7.16,-0.6
SNOW,229,2024-08-21,A,3.07,0.87,135.06,130.66000366210938,3.96,False,3.93,True,2024,122.1,-9.6,-7.01,stop,7.01,0,stop,7.01,0,stop,7.01,0,-6.52,-11.09,-9.69,1.54,-12.26
