sym,date,whale_time,hour,bar_k,entry,whale_low,whale_high,spike,pace,clv,rng_x,new_high,above_vwap,lifting,confirmed,rsi,pattern,score,room_pct,breakout,trend,near_low,atr5_pct,atr5_abs,atr_d_pct,v3,first_of_day,fill,slip_pct,mfe_d0,mae_d0,close_d0,mfe_d1,close_d1,stoppct_whale,o_d0_t0.5_whale,p_d0_t0.5_whale,o_d1_t0.5_whale,p_d1_t0.5_whale,o_d0_t1.0_whale,p_d0_t1.0_whale,o_d1_t1.0_whale,p_d1_t1.0_whale,o_d0_t1.5_whale,p_d0_t1.5_whale,o_d1_t1.5_whale,p_d1_t1.5_whale,o_d0_t2.0_whale,p_d0_t2.0_whale,o_d1_t2.0_whale,p_d1_t2.0_whale,stoppct_p05,o_d0_t0.5_p05,p_d0_t0.5_p05,o_d1_t0.5_p05,p_d1_t0.5_p05,o_d0_t1.0_p05,p_d0_t1.0_p05,o_d1_t1.0_p05,p_d1_t1.0_p05,o_d0_t1.5_p05,p_d0_t1.5_p05,o_d1_t1.5_p05,p_d1_t1.5_p05,o_d0_t2.0_p05,p_d0_t2.0_p05,o_d1_t2.0_p05,p_d1_t2.0_p05,stoppct_p10,o_d0_t0.5_p10,p_d0_t0.5_p10,o_d1_t0.5_p10,p_d1_t0.5_p10,o_d0_t1.0_p10,p_d0_t1.0_p10,o_d1_t1.0_p10,p_d1_t1.0_p10,o_d0_t1.5_p10,p_d0_t1.5_p10,o_d1_t1.5_p10,p_d1_t1.5_p10,o_d0_t2.0_p10,p_d0_t2.0_p10,o_d1_t2.0_p10,p_d1_t2.0_p10,stoppct_p20,o_d0_t0.5_p20,p_d0_t0.5_p20,o_d1_t0.5_p20,p_d1_t0.5_p20,o_d0_t1.0_p20,p_d0_t1.0_p20,o_d1_t1.0_p20,p_d1_t1.0_p20,o_d0_t1.5_p20,p_d0_t1.5_p20,o_d1_t1.5_p20,p_d1_t1.5_p20,o_d0_t2.0_p20,p_d0_t2.0_p20,o_d1_t2.0_p20,p_d1_t2.0_p20,stoppct_atr1,o_d0_t0.5_atr1,p_d0_t0.5_atr1,o_d1_t0.5_atr1,p_d1_t0.5_atr1,o_d0_t1.0_atr1,p_d0_t1.0_atr1,o_d1_t1.0_atr1,p_d1_t1.0_atr1,o_d0_t1.5_atr1,p_d0_t1.5_atr1,o_d1_t1.5_atr1,p_d1_t1.5_atr1,o_d0_t2.0_atr1,p_d0_t2.0_atr1,o_d1_t2.0_atr1,p_d1_t2.0_atr1
AMD,2026-07-06,09:40,9,2,556.2,543.9,553.88,3.83,1.27,0.91,2.34,True,True,True,True,83.6,بدون,87,990.0,True,True,False,0.999,5.469977242606027,7.14,False,True,556.41,0.04,2.89,-0.9,-0.8,2.89,-7.16,2.0,target,0.46,target,0.46,target,0.96,target,0.96,target,1.46,target,1.46,target,1.96,target,1.96,0.5,target,0.46,target,0.46,target,0.96,target,0.96,target,1.46,target,1.46,target,1.96,target,1.96,1.0,target,0.46,target,0.46,target,0.96,target,0.96,target,1.46,target,1.46,target,1.96,target,1.96,2.0,target,0.46,target,0.46,target,0.96,target,0.96,target,1.46,target,1.46,target,1.96,target,1.96,0.98,target,0.46,target,0.46,target,0.96,target,0.96,target,1.46,target,1.46,target,1.96,target,1.96
AZO,2026-07-06,09:40,9,2,3006.0,2991.67,3023.01,2.35,2.71,0.88,1.64,False,False,False,False,17.8,بدون,72,7.12,False,True,False,0.848,25.484078543526785,2.96,False,True,3009.88,0.13,0.08,-2.01,-1.65,2.78,2.23,0.68,stop,-0.8,stop,-0.8,stop,-0.8,stop,-0.8,stop,-0.8,stop,-0.8,stop,-0.8,stop,-0.8,0.5,stop,-0.63,stop,-0.63,stop,-0.63,stop,-0.63,stop,-0.63,stop,-0.63,stop,-0.63,stop,-0.63,1.0,stop,-1.13,stop,-1.13,stop,-1.13,stop,-1.13,stop,-1.13,stop,-1.13,stop,-1.13,stop,-1.13,2.0,none,-1.65,target,0.37,none,-1.65,target,0.87,none,-1.65,target,1.37,none,-1.65,target,1.87,0.85,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98
CAT,2026-07-06,09:40,9,2,986.52,984.27,989.9,2.33,1.17,0.64,1.43,False,True,False,False,78.3,بدون,61,1.29,False,False,False,0.534,5.262464250837054,4.63,False,True,986.7,0.02,0.33,-2.37,-1.69,0.33,-4.73,0.43,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,0.5,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,1.0,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,2.0,stop,-2.02,stop,-2.02,stop,-2.02,stop,-2.02,stop,-2.02,stop,-2.02,stop,-2.02,stop,-2.02,0.53,stop,-0.55,stop,-0.55,stop,-0.55,stop,-0.55,stop,-0.55,stop,-0.55,stop,-0.55,stop,-0.55
CRWD,2026-07-06,09:40,9,2,206.04,200.1,203.09,3.58,2.93,0.96,1.99,True,True,True,True,71.4,بدون,100,990.0,True,True,False,0.923,1.8547014508928572,3.95,True,True,206.25,0.1,1.57,-4.22,-3.33,1.57,-5.75,2.0,target,0.4,target,0.4,target,0.9,target,0.9,target,1.4,target,1.4,stop,-2.1,stop,-2.1,0.5,target,0.4,target,0.4,stop,-0.6,stop,-0.6,stop,-0.6,stop,-0.6,stop,-0.6,stop,-0.6,1.0,target,0.4,target,0.4,stop,-1.1,stop,-1.1,stop,-1.1,stop,-1.1,stop,-1.1,stop,-1.1,2.0,target,0.4,target,0.4,target,0.9,target,0.9,target,1.4,target,1.4,stop,-2.1,stop,-2.1,0.9,target,0.4,target,0.4,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
DELL,2026-07-06,09:40,9,2,417.0,407.12,410.92,3.03,1.62,0.89,1.27,False,True,False,True,79.7,بدون,82,1.33,False,False,False,0.864,3.5299290248325894,7.79,False,True,417.35,0.08,2.97,-3.33,-1.39,2.97,-0.02,2.0,target,0.42,target,0.42,target,0.92,target,0.92,target,1.41,target,1.41,target,1.91,target,1.91,0.5,target,0.42,target,0.42,target,0.92,target,0.92,target,1.41,target,1.41,target,1.91,target,1.91,1.0,target,0.42,target,0.42,target,0.92,target,0.92,target,1.41,target,1.41,target,1.91,target,1.91,2.0,target,0.42,target,0.42,target,0.92,target,0.92,target,1.41,target,1.41,target,1.91,target,1.91,0.85,target,0.42,target,0.42,target,0.92,target,0.92,target,1.41,target,1.41,target,1.91,target,1.91
HAL,2026-07-06,09:40,9,2,33.37,33.3,33.49,2.42,1.7,0.57,2.1,True,True,False,False,80.8,بدون,69,0.6,False,False,True,0.328,0.10938698904854911,3.27,False,True,33.37,-0.01,0.7,-1.24,-1.15,2.1,1.26,0.41,target,0.52,target,0.52,stop,-0.39,stop,-0.39,stop,-0.39,stop,-0.39,stop,-0.39,stop,-0.39,0.5,target,0.52,target,0.52,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,1.0,target,0.52,target,0.52,stop,-0.99,stop,-0.99,stop,-0.99,stop,-0.99,stop,-0.99,stop,-0.99,2.0,target,0.52,target,0.52,none,-1.15,target,1.02,none,-1.15,target,1.52,none,-1.15,target,2.02,0.33,target,0.52,target,0.52,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31
LULU,2026-07-06,09:40,9,2,114.61,114.29,115.06,2.06,1.22,0.78,1.65,False,False,False,False,22.7,بدون,55,4.55,False,False,False,0.565,0.6475857325962612,3.83,False,True,114.74,0.11,1.32,-1.59,0.78,3.55,0.36,0.48,stop,-0.59,stop,-0.59,stop,-0.59,stop,-0.59,stop,-0.59,stop,-0.59,stop,-0.59,stop,-0.59,0.5,stop,-0.61,stop,-0.61,stop,-0.61,stop,-0.61,stop,-0.61,stop,-0.61,stop,-0.61,stop,-0.61,1.0,stop,-1.11,stop,-1.11,stop,-1.11,stop,-1.11,stop,-1.11,stop,-1.11,stop,-1.11,stop,-1.11,2.0,target,0.39,target,0.39,target,0.89,target,0.89,none,0.78,target,2.28,none,0.78,target,2.28,0.57,stop,-0.68,stop,-0.68,stop,-0.68,stop,-0.68,stop,-0.68,stop,-0.68,stop,-0.68,stop,-0.68
PANW,2026-07-06,09:40,9,2,360.63,354.24,358.41,2.55,1.31,0.92,1.9,True,True,True,True,65.4,بدون,77,990.0,True,True,False,0.754,2.6751316615513394,3.62,False,True,361.25,0.17,1.92,-2.35,-1.1,1.92,-6.7,1.97,target,0.33,target,0.33,target,0.83,target,0.83,target,1.33,target,1.33,target,1.82,target,1.82,0.5,target,0.33,target,0.33,target,0.83,target,0.83,target,1.33,target,1.33,target,1.82,target,1.82,1.0,target,0.33,target,0.33,target,0.83,target,0.83,target,1.33,target,1.33,target,1.82,target,1.82,2.0,target,0.33,target,0.33,target,0.83,target,0.83,target,1.33,target,1.33,target,1.82,target,1.82,0.74,target,0.33,target,0.33,target,0.83,target,0.83,target,1.33,target,1.33,target,1.82,target,1.82
TSM,2026-07-06,09:40,9,2,455.02,452.86,456.4,2.36,1.34,0.77,1.66,False,True,False,True,83.4,بدون,70,1.42,False,False,False,0.71,3.234464372907366,5.07,False,True,454.94,-0.02,1.12,-0.69,-0.65,1.12,-4.9,0.67,target,0.52,target,0.52,target,1.02,target,1.02,stop,-0.66,stop,-0.66,stop,-0.66,stop,-0.66,0.5,target,0.52,target,0.52,target,1.02,target,1.02,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,1.0,target,0.52,target,0.52,target,1.02,target,1.02,none,-0.65,stop,-3.72,none,-0.65,stop,-3.72,2.0,target,0.52,target,0.52,target,1.02,target,1.02,none,-0.65,stop,-3.72,none,-0.65,stop,-3.72,0.71,target,0.52,target,0.52,target,1.02,target,1.02,none,-0.65,stop,-3.72,none,-0.65,stop,-3.72
VRT,2026-07-06,09:40,9,2,323.0,322.37,326.61,3.19,1.6,0.92,2.08,True,True,True,False,84.3,بدون,84,990.0,True,False,False,0.916,2.950352260044643,7.53,False,True,322.99,-0.0,1.98,-2.3,-1.42,1.98,-5.39,0.39,target,0.5,target,0.5,target,1.0,target,1.0,target,1.5,target,1.5,stop,-0.39,stop,-0.39,0.5,target,0.5,target,0.5,target,1.0,target,1.0,target,1.5,target,1.5,stop,-0.5,stop,-0.5,1.0,target,0.5,target,0.5,target,1.0,target,1.0,target,1.5,target,1.5,stop,-1.0,stop,-1.0,2.0,target,0.5,target,0.5,target,1.0,target,1.0,target,1.5,target,1.5,stop,-2.0,stop,-2.0,0.91,target,0.5,target,0.5,target,1.0,target,1.0,target,1.5,target,1.5,stop,-0.91,stop,-0.91
